ACN,Narrative,Result,Synopsis,timeline_text,normalized_summary
2304473,Crew sent an ACARS to Maintenance Control advising of low oil quantity; down to 9%. I began looking at the QRH for something related to low oil quantity. The crew advised me that they had low oil and might be diverting. I acknowledged their message and asked if the engine was shut down or running. After a few minutes; there was still no reply; I asked if they would like a patch with Maintenance Control and recommended ZZZ as a precautionary diversion; unaware if the engine was shut down or not. A few minutes after; I advised the crew that ZZZ1 was approximately 150NM off of their nose and sent them the weather. At the same time; they advise the oil quantity was down to 6% and was also thinking of ZZZ1. I agreed with the crew about the diversion to ZZZ1 and the process was initiated. I released the flight to ZZZ1 without the MEL; unaware if the engine was running or not; knowing I could add it after if necessary. I asked the crew again; asking which engine; if it was shut down; and if an emergency was declared; they only advised it was still running. I sent the crew normal landing data based on the running engine instead of non-normal landing data and did not have communication with them again until after they landed.ZZZ1 ATCT was advised prior to landing that the flight was inbound with engine trouble; but they were already aware. I later followed up with the ATCT to confirm priority handling was requested and ARFF (Airport Rescue and Firefighting) vehicles were standing by for their landing.,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed As Precaution; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,An air carrier Dispatcher reported one of their flights experienced low oil quantity in one engine and diverted to a nearby airport.,"Crew sent ACARS reporting low oil quantity (9%); ATC reviewed QRH and queried whether the engine was shut down or running; after no immediate reply, ATC recommended ZZZ1 as a precautionary diversion and provided weather; crew later reported oil down to 6% and agreed to divert to ZZZ1; ATC released the flight to ZZZ1 without an MEL, asked again which engine and if it was shut down, and was told the engine was still running; ATC provided normal landing data based on a running engine and coordinated with ZZZ1 ATCT for priority handling and ARFF standby; flight landed at ZZZ1 as a precaution.","The flight reported low engine oil (decreasing from 9% to 6%) and diverted to ZZZ1; ATC coordinated the diversion, provided landing data based on a running engine, arranged ARFF standby, and the aircraft landed there as a precaution."
2304571,We were at cruise altitude of 35;000 feet approximately 64 miles east of ZZZ when we heard a loud bang form of noise. It sounded like when an EFB mount falls and hits the ground. I looked up and saw my windshield (FO) side had shattered. I mentioned to the captain that we may have to divert. He looked over and saw the windshield and agreed. Seconds later we received an EICAS windshield heater inoperative message. We identified/canceled and ran the QRH for both the eicas and windshield broken checklists. In the midst of that the captain elected to request priority handling as a precaution in case of the spider web style of shatter would get worse and ultimately crack the inner layer. We knew ZZZ was a base; close in proximity; and a maintenance base so that is where we elected to go. I believe we handled the situation as best as trained ultimately following our guidelines of do not panic; fly the airplane; and communicate. In the midst of the event all parties were notified. Flight Attendants; Dispatch; ATC; and the passengers. The outcome was best as possible with no additional damage; injuries; and safety first actions being taken place. After being on the ground we were told there was a plane for us on the next gate over. After finishing what needed to be done we set up the new plane and ultimately finished the route to ZZZ1 and brought the passengers where they intended to go.,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Flight Cancelled / Delayed; General Maintenance Action,Embraer 170 First Officer reported the First Officer's window outer pane shattering during cruise flight. The flight diverted to an alternate airport and landed safely with no injuries.,"Cruising at 35,000 ft about 64 miles east of ZZZ; loud bang heard and the first officer side windshield shattered; EICAS displayed windshield heater inoperative; crew identified/canceled messages and ran QRH checklists for EICAS and windshield broken; captain requested priority handling and elected to divert to nearby maintenance base ZZZ; ATC, dispatch, flight attendants, and passengers were notified; aircraft landed in an emergency condition with no additional damage or injuries; passengers were moved to a replacement aircraft and the flight continued to ZZZ1.","The first officer side windshield shattered at cruise, the crew ran applicable QRH procedures, requested priority handling, and diverted to the nearby maintenance base where they landed in an emergency condition with no injuries or further damage. Passengers were transferred to a replacement aircraft and the flight continued to its destination."
2304589,We had a normal taxi to the runway. Once we were at maximum speed; the pilots hit the brakes. We were stopping hard and items were sliding down the aisle. Once we came to a complete stop; our Captain came over the PA and said to remain seated. We shouted the command and assessed conditions outside the plane and checked on customers. I did not yell 'Brace; brace; brace' and didn't hear anyone in my immediate area either. On our ride to the hotel we discussed this and weren't sure that we did the right thing since we couldn't see why were we were braking. There could have been something in from of us. I'm used to training where we hear crashing sounds and people screaming once we start yelling commands.,Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed,Air Carrier flight attendants reported a high speed rejected takeoff due to engine malfunction.,"Normal taxi to the runway; at maximum speed the pilots applied brakes; aircraft stopped hard and items slid down the aisle; Captain announced to remain seated; crew shouted a command, assessed conditions outside and checked on customers; flight crew rejected takeoff and the flight was cancelled/delayed, passengers transported to hotel","Pilots applied brakes at maximum taxi speed, resulting in a hard stop with items sliding and the crew assessing conditions; the takeoff was rejected and the flight was cancelled/delayed, with passengers taken to a hotel."
2304718,About an hour into the flight (ZZZ-ZZZ1); we noticed engine no. 1 had a low oil qty of 12% and decreasing 1%; every few minutes. Reviewed manuals and found no guidance; so we messaged dispatch and Maintenance Control. Maintenance Control only said; 'follow the manual'; which I found surprising. We immediately descended to a lower altitude; in case the engine failed; we'd already be at an appropriate altitude and we thought the lower thrust setting while descending would help preserve the remaining oil. Decided on diverting to ZZZ2. Kept descending to keep thrust low and eventually kept no. 1 engine at idle for same reason for remainder of the flight. A few times; eng (Engine) oil qty reached 0 (zero); but pressure and temperature remained normal; entire time. Briefed many times; if engine failed; but it didn't and we landed safely.,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; Flight Crew FLC complied w / Automation / Advisory; General Maintenance Action; General Flight Cancelled / Delayed,B737 flight crew reported loss of engine oil during cruise. Flight diverted and landed safely.,"About an hour into the flight noticed engine no. 1 had low oil quantity (12%) and was decreasing about 1% every few minutes; reviewed manuals and, finding no guidance, messaged dispatch and Maintenance Control who advised to 'follow the manual'; immediately descended to a lower altitude and reduced thrust to preserve remaining oil and be at an appropriate altitude if the engine failed; decided to divert to ZZZ2 and kept engine no. 1 at idle for the remainder of the flight; oil quantity reached zero a few times while oil pressure and temperature remained normal; briefed crew repeatedly for possible engine failure and landed safely at the diversion airport","Engine 1 exhibited a steadily decreasing oil quantity about an hour into the flight; the crew descended, reduced thrust, consulted maintenance, diverted to ZZZ2, kept the engine at idle, and landed safely with no engine failure despite intermittent zero oil quantity indications."
2304776,During climbout from ZZZ; GPS-L invalid message started to intermittently come on and frequently. Crew decided with Maintenance and Dispatch confirmation that to land back in ZZZ would be the best decision due to nature of approaches in the area and due to now lack of redundancy in the GPS system. With crew concurrence; the plane was landed overweight since ZZZ was partly IMC; over speed of about 3 kts on flaps 30 setting was also noted due to gusty conditions. Landing was not hard; though both overweight landing and over speed were written up so that Maintenance may inspect. Expected hot brakes and advised Operations of situation.,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,B737 flight crew reported loss of a GPS unit on climbout. Flight returned to departure airport and landed.,Climbout from ZZZ; GPS-L invalid message began to come on intermittently and more frequently; Crew consulted Maintenance and Dispatch and decided to return to ZZZ due to loss of GPS redundancy and local approach considerations; Aircraft landed back at ZZZ overweight in partly IMC with about 3 kts overspeed on flaps 30 in gusty conditions; Landing was not hard and overweight/overspeed were written up for maintenance; ATC provided assistance and Operations were advised; Flight was canceled/delayed.,"During climbout from ZZZ a GPS-L invalid message led the crew, with Maintenance and Dispatch concurrence, to return and perform an overweight landing with a slight flaps-30 overspeed; the landing was not hard, maintenance write-ups were completed, ATC assisted, and the flight was canceled/delayed."
2304833,I completed the preflight walk around prior to departure and did not observe the nose gear pin flag hanging below the nose gear doors. On takeoff; when the Captain called for gear up; I moved the gear lever to the up position and observed that the nose gear was showing in transit. A Caution ECAM then alerted us to the L/G Nosegear Not Unlocked. We attempted to cycle the gear and got the same response. We then left the gear down and requested priority handling. We received vectors around while the Captain worked through his steps; while I flew. We landed underweight and safely back in ZZZ. Once at the gate; the mechanics found that the nose gear pin was left in from an earlier tire and brake change and the flag was only about 8 inches long and was not visible below the gear doors. Cause: Longer and Brighter Gear Pin Flag and maintenance verification of all pin removals.,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Flight Cancelled / Delayed,A320 flight crew reported nose gear did not retract on take off due to the nose gear pin being left in.,Completed preflight walk-around and did not observe nose gear pin flag; took off and when commanded to retract gear moved lever up and saw nose gear in transit; Caution ECAM 'L/G Nosegear Not Unlocked' alerted crew; attempted to cycle gear with same result; left gear down and requested priority handling; received vectors while captain ran procedures and first officer flew; landed underweight and safely back at ZZZ; at the gate mechanics found the nose gear pin left in and the flag was only about 8 inches long and not visible below the gear doors.,"A maintenance-installed nose gear pin remained in place, preventing nose gear unlocking; the crew kept the gear down, requested priority handling, and landed safely back at the departure airport, where mechanics found the short flag."
2304859,I was captain and pilot flying Aircraft X ZZZ-ZZZ1  We pushed back from gate XX and taxied to runway XXL and departed to our destination.  We knew the weather was forecast was calling for snow and fog and visibility was at ILS minimums.  While on approach at 7;000 ft MSL; we received a R WING ANGI ICE Caution message.  The FO and I ran the QRH procedure for that particular message.  The message still persisted after completing the procedure and the QRH directed us to leave icing conditions.  To accomplish this; we climbed the aircraft to 16000 feet and were able to get on top of the cloud layer.  We messaged dispatch of our situation and returning to ZZZ was our best option as the weather was clear for the rest of the flight.  The rest of the flight had no further events and landed safely back at ZZZ.Cause: Failure in the wing anti ice system which caused the EICAS message.Suggestions: The same aircraft was written up previously that day in ZZZ1 for the same EICAS message but was signed off by local maintenance.  More  thorough systems testing before signing the aircraft off.,Flight Crew Landed in Emergency Condition; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,CRJ-900 Captain reported failure of a wing anti icing system during descent. Flight returned to departure airport.,"Pushed back from gate, taxied and departed to destination; while on approach at 7,000 ft MSL received R WING ANTI ICE Caution; flight crew ran QRH procedure which did not clear the message; QRH directed leaving icing conditions so crew climbed to 16,000 ft to get on top of the cloud layer; crew notified dispatch and decided to return to departure airport ZZZ; landed back at ZZZ with no further events.","A right wing anti-ice caution message occurred during approach, caused by a wing anti-ice system failure; the crew executed QRH procedures, climbed to 16,000 ft to exit icing, and returned to land safely at the departure airport in an emergency condition. The flight was cancelled/delayed."
2305051,Pushback commenced normally with a standard sequence of events. We were given clearance to push from gate XXX to spot A. Captain gave command 'brakes released cleared to push spot A.' Pushback crew read back appropriate instructions. A minute into the pushback the left wing marsheller gave the command to stop pushback and the tug driver did so in a smooth manner. The flight deck was then told that the bottom of the left wing tip had come into contact with a fuel truck antenna. At time of occurrence and position of aircraft there was no indication from the flight deck that it had made contact with anything. Maintenance was called. Maintenance determined to take the aircraft out of service. The pushback crew was replaced and the new crew towed the aircraft back to gate XXX. Passengers deplaned and moved to different gate/ aircraft.,Aircraft Aircraft Damaged; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,B737 flight crew and ramp agent reported the aircraft wingtip stuck an antennae of a fuel truck during pushback; resulting in damage to the aircraft wingtip.,"Pushback commenced from gate XXX to spot A after captain command 'brakes released cleared to push spot A'; pushback crew read back the instruction; one minute into pushback the left wing marshaller ordered stop and the tug driver stopped smoothly; flight deck was informed the bottom of the left wing tip had contacted a fuel truck antenna, though the flight deck had no indication of contact; maintenance was called and determined to take the aircraft out of service; the pushback crew was replaced and the new crew towed the aircraft back to gate XXX; passengers deplaned and were moved to a different gate/aircraft.","During pushback the bottom of the left wing tip contacted a fuel truck antenna, resulting in aircraft damage; maintenance took the aircraft out of service, it was returned to the gate, and passengers deplaned and were moved to another gate/aircraft."
2305068,As Captain I refused to operate Aircraft X from ZZZZ to ZZZ on Day 0.  The aircraft arrived with inoperative HMG (Hydraulic Motor Generator) and 10 other deferrals.  The follow on crew apparently refused the aircraft also. Boeing designed the aircraft with an operable HMG for a reason; as the backup in the unlikely event of dual AC bus failure.  Our flight was dispatched 120minute ETOPS; being over two hours from any airport would be in mind one of those times that backup should be required.   There is a warning in our flight manual that states:  If the HMG fails or is inoperative; flight beyond 30 minutes will result in a complete loss of electrical power and the inability to lower the gear and flaps.  When flying domestically with many landing options within this time frame; this would be perhaps acceptable.  However on this flight that was not the case.,General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted,B767 Captain reported refusing an aircraft that had an inoperative back up generator.,Captain refused to operate Aircraft X from ZZZZ to ZZZ on Day 0; aircraft arrived with inoperative HMG and 10 other deferrals; follow-on crew also refused the aircraft; flight was dispatched as 120-minute ETOPS (over two hours from any airport); flight manual warns HMG failure or inoperative beyond 30 minutes results in complete loss of electrical power and inability to lower gear and flaps; flight cancelled/delayed and aircraft not accepted.,Captain refused to accept Aircraft X because the Hydraulic Motor Generator was inoperative (plus 10 deferrals) while the flight was dispatched as 120-minute ETOPS and the manual warns loss of electrical power beyond 30 minutes; the flight was cancelled/delayed and the aircraft was not accepted.
2306250,We pushed back from gate A; the tug was disconnected and engine #2 was started. After ground crew was disconnected we performed our after start checks. During the flight control check the operation of the elevators and ailerons did not feel correct. There was a significant grab/sticking in the movement of the controls. I had the first officer operate the controls to verify what I was feeling. I had recently heard of this happening; specifically on the Max aircraft. As a crew; we made the decision; it was not safe to fly. We called maintenance frequency and said we are returning to the gate. We were immediately met with pushback and told; 'this is not convenient'. That statement was not safe; caring or dependable. After parked back at the gate; the aircraft technician met us. We told her what we experienced and she immediately began saying what we felt was normal. Neither the first officer or I had experienced this flight control issue before. I explained that I had recently heard several pilots reporting this same issue and it is a known issue and there is a known fix. She had no interest in what we had to say and she repeated numerous times it was normal. We did not agree. I made a call to Maintenance Control and Maintenance Control said this is a known issue and this aircraft needs to be fixed. I went back to the flight deck to check in with the technicians. They proceeded to push for us to fly the aircraft and said all was normal. I stated I called Maintenance Control and they agreed that this is not normal and it needed to be fixed. She pushed again for us to take the aircraft. I said I was not comfortable taking it. She got mad; defensive and very rude and stormed off of the aircraft. She was extremely un professional in front of a plane full of passengers and very rude to me. This was a safety concern and she pushed us to continue. We swapped to a different aircraft; also a max 9. We did the control check on it and they operated correctly.,Flight Crew Returned To Gate; General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted; General Maintenance Action,B737 MAX 9 Captain reported unusual stiff flight control movement when performing the flight control check on the ground after engine start. The Captain refused the aircraft for flight.,"Pushed back from gate A; tug disconnected and engine #2 started; after-start checks performed; during flight control check elevators and ailerons exhibited significant grab/sticking; first officer operated controls to verify; crew decided aircraft was not safe to fly and contacted maintenance, then returned to the gate; local technician insisted controls were normal and urged flight but Maintenance Control confirmed this is a known issue requiring a fix and the aircraft was not accepted; crew swapped to a different max 9 and its control check was normal","During preflight control check the elevators and ailerons exhibited significant grab/sticking; the crew returned to the gate, refused the aircraft, and Maintenance Control required a maintenance fix, resulting in the flight being delayed/cancelled. The crew swapped to another max 9 whose controls checked normal."
2306459,Besides a slight delay due to the aircraft not being towed into the gate everything went normal from the boarding process to the pushback and taxi out. As we got taxi instructions and started taxing to runway XXL ground asked if we can accept XXL at Taxiway 1; we ran the numbers and replied that we can do it; also at the same time we realized we might be departing quicker than expected and started the 2nd engine. After running through all our flows and checklists right after I made the PA for the flight attendants to be seated we heard some kind of alarm (beeping noise) unsure of where it was coming from for a second; I looked up and saw the red smoke indication on the Aft Avionics smoke panel; as soon as I saw it I verbalized it and the Captain immediately reached over and pressed the power button on the aft avionics switch shutting the system down which got rid of the alarm and smoke indication. The Captain called the cabin crew and they said they also had an indication and they would ask the other cabin crew if they smelled anything and would call us back. I notified ATC that we have an issue and cannot take the runway at the moment; they gave us a place to park at which point the Captain contacted maintenance over the radio. They advised us to contact Maintenance Control. While the Captain was getting in contact with Maintenance Control I made a PA to the passengers and one of the cabin crew members called us and said she did smell a bit of an electric smoke odor as if from an electrical spark. I called operations and let them know that we need to coordinate a gate for us to come back. Maintenance Control advised us to go back to the gate just as we planned. Once the Captain was off the phone with Maintenance Control I notified operations and ATC that we are going back to the gate. We taxied back to gate XXX and deplaned the aircraft. Neither I nor the Captain noticed any odor in the flight deck. Our only indication was the alarm and smoke light on aft avionics panel.,Air Traffic Control Issued New Clearance; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,A321 First Officer reported a smoke alarm for the aft avionics panel while taxiing and a return to the gate.,"Slight delay at gate due to aircraft not being towed into the gate; boarding, pushback and taxi-out proceeded normally; ATC asked if crew could accept runway XXL at Taxiway 1 and crew accepted; crew started the second engine anticipating earlier departure; after flows, checklists and a PA for cabin to be seated an alarm sounded and the aft avionics smoke panel showed a red smoke indication; Captain powered down the aft avionics which silenced the alarm and cleared the indication; cabin crew reported a slight electrical smoke odor; crew notified ATC, contacted maintenance and Maintenance Control who advised returning to the gate; crew taxied back to gate XXX and deplaned; flight deck crew did not notice any odor.","During taxi an aft avionics smoke alarm and red smoke indication occurred; the crew powered down the aft avionics, notified ATC and maintenance, returned to the gate and deplaned. The alarm/indication ceased after shutdown and no odor was observed in the flight deck."
