 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
2304040,202511,1801-2400,ZZZZ.ARTCC,FO,,,,,,,,,,,,,Air Carrier,A321,,2,Part 121,IFR,Passenger,,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Other / Unknown; Troubleshooting,,,2304040,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Attendant; Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Abnormal vibrations were felt in CA and FO rudder pedals during climb out of ZZZZ.  The vibrations were constant but irregular. They were high frequency and made our feet tingle/sting when on the rudder pedals.  I called the flight attendants and asked them to check the cabin for any unusual vibrations.  At first they reported none; then they reported hearing and feeling vibrations in the forward galley and around row 9.  FO stayed as PF and took over the radios while I contacted Dispatch and Maintenance via SATCOM.  Maintenance saw nothing unusual in their systems. MX (Maintenance) initially hinted they wanted us to continue to ZZZ; but we were not certain it was prudent to continue. So next they hinted at going to ZZZ or ZZZ1.  However upon consultation with entire crew; the decision was made to divert to ZZZ2.  At this point we were almost equal time from ZZZZ and ZZZ2; and ZZZ2 is a Maintenance base.  The crew agreed this was a good choice.  We ran the diversion checklist and overweight landing checklist  No code was given; no emergency was declared.  Overweight landing at 176;200 lbs (321Neo). 100fpm at touchdown.  We requested and were cleared to land on ZZZ2 Rwy XX; since it was longer that Rwy XY. CA flew the approach and landing due to the overweight condition.  Logbook entires for vibration and overweight landing.  Vibration Report filled out in full detail.  Debriefed and discussed at length with maintenance control.  Flight continued to ZZZ three hours later.  Passengers were kept informed throughout the diversion; delay at ZZZ2; and on the continuation of the flight.  They were generally appreciative of being kept informed and understood we put safety first.",,,,"Air carrier Captain reported vibrations in the rudder pedals and flight attendant reported vibrations in the cabin. Flight diverted to nearest airport as a result.",
2304052,202511,1201-1800,ZZZ.Airport,US,,,0,,,,,,,,,Ground ZZZ,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Fuel Tank,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2304052,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Fuel Issue,,,Automation Aircraft Other Automation; Person Flight Crew,Taxi,Air Traffic Control Provided Assistance; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Aircraft,Aircraft,"We were dealing with an APU not doing a great job of cooling the aircraft while on the ground in ZZZ. The cockpit temperature never got below 90 and the cabin remained at 84/82. Knowing we had a 20 minute flight back to ZZZ1; we elected to continue. Performance mandated we take off in the opposite direction in ZZZ using runway XX. The push was delayed 10 minutes for ground traffic out to runway XX. Startup and taxi went normally but the interior started heating up after engine start. Temps hovered at 98 in the cockpit and 88/84 in the cabin. We were hoping to hustle because once airborne the plane would start cooling off. Ground told us takeoff would be delayed at least 20 minutes due to arriving and departing traffic.After a 10 minute sit waiting for takeoff; we got an Master Caution Light and ECAM message stating a fuel overheat condition in the left wingtip fuel tank. The temperature was 57 C and in less than 20 seconds it climbed to and hit 72 C. We accomplished the ECAM actions shutting down the left generator and left engine. We were now obligated to return to the gate.We asked for a taxi back but ground stated we could not taxi back for at least 20 minutes. In the meantime the right wingtip fuel was overheating hitting about 58 C when we made the decision to advise ATC to gain traffic priority. We got an immediate back taxi down the runway and returned to our pad location. We accomplished the remaining ECAM actions once parked; shutting down the right generator and right engine. The temp reached 68C in the right tank at shutdown. Cabin air temps remained at the previous highs of 98/88/84 during the whole incident.I exited the cockpit and asked the passengers to quickly but orderly depart the aircraft down the front and rear airstairs. We were concerned about how high the temperatures actually went in the fuel tanks. Ground fire fighting crews rolled and monitored the fuel tank temperatures. The passengers were calm and the exit was swift and orderly. I asked my inflight crew to go with the passengers and had my first officer manage the arriving staff while I cleaned up the remaining checklist items and shut down the aircraft.",,,,"A320 Captain reported returning to the gate after noting high fuel temperatures during taxi.",
2304243,202511,,,,,,0,,,,,,,,,,Air Carrier,B737-800,,2,Part 121,,,,Parked,,,,,N,,Unscheduled Maintenance,Inspection,,,,,,,,,,,,,,,,,,Exterior Pax/Crew Door,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,Door Area,Air Carrier,Technician,Maintenance Airframe; Maintenance Powerplant,,,Distraction; Time Pressure,,,2304243,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Object,,,Person Maintenance,Pre-flight,General Flight Cancelled / Delayed; General Maintenance Action,Aircraft; Company Policy; Human Factors,Aircraft,"Safety Report - Jet Bridge Contact Incident at Gate XX A/C XDate of Incident: Day 0Location: Gate XXSubject: Jet Bridge Contact with Aircraft Door 1L and Subsequent Management ConductSummary of Event:On Day 0; maintenance personnel were dispatched to Gate XX in response to an incident in which the jet bridge contacted the aircraft at the 1L boarding door. The contact resulted in the door being lifted approximately three to five (3-5) inches above its normal seated position.Upon inspection; maintenance personnel expressed concern regarding potential damage to the door hinges and the possibility of hidden or non-visible structural damage caused by the vertical displacement. Given the nature of the contact and the potential safety implications; maintenance deemed it necessary to perform a thorough evaluation prior to determining the aircraft's airworthiness.Concerns Raised:During the course of the event; members of management were observed pressuring maintenance personnel to expedite the evaluation and sign off the discrepancy. It was also stated that individuals outside the maintenance department had characterized the mechanics' assessment as exaggerated. Furthermore; management insinuated that maintenance personnel were engaging in a "job action" or "work slowdown;" implying that the delay in clearing the aircraft was deliberate rather than safety-driven.Safety Implications:Such behavior from management undermines the integrity of the maintenance decision-making process and creates an environment where personnel may feel pressured to prioritize operational schedules over safety and regulatory compliance. This incident highlights an ongoing concern regarding conflicting priorities between maintaining on-time performance and ensuring that all aircraft discrepancies are properly inspected and resolved in accordance with maintenance standards and FAA regulations.Conclusion:Maintenance personnel acted in accordance with established procedures and their regulatory responsibility to ensure aircraft safety prior to return to service. The interference and insinuations from management during this incident are inconsistent with the company's stated commitment to a "safety first" culture and should be reviewed to prevent recurrence.Suggested Resolution:  Reinforce Maintenance Authority and Safety Protocols; Reiterate to all operational and management personnel that only qualified maintenance staff have the authority to determine airworthiness and sign off mechanical discrepancies. Provide refresher training or communication emphasizing that safety-related inspections cannot be influenced or expedited by non-maintenance personnel; Reaffirm the company's commitment to a "safety first" culture by addressing instances of pressure or interference promptly and transparently.",,,,"Air carrier technician reported they were dispatched to a B737-800 at the gate to evaluate possible damage to door 1 left due to the jet bridge contacting the door and lifting it.",
2304473,202511,1201-1800,ZZZ.ARTCC,US,,,,,,,,,,,,Center ZZZ,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Air Carrier,Dispatcher,Dispatch Dispatcher,,,Troubleshooting; Communication Breakdown; Workload,Party1 Dispatch; Party2 Flight Crew,,2304473,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Diverted; Flight Crew Landed As Precaution; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; General Flight Cancelled / Delayed,Aircraft,Aircraft,"Crew sent an ACARS to Maintenance Control advising of low oil quantity; down to 9%. I began looking at the QRH for something related to low oil quantity. The crew advised me that they had low oil and might be diverting. I acknowledged their message and asked if the engine was shut down or running. After a few minutes; there was still no reply; I asked if they would like a patch with Maintenance Control and recommended ZZZ as a precautionary diversion; unaware if the engine was shut down or not. A few minutes after; I advised the crew that ZZZ1 was approximately 150NM off of their nose and sent them the weather. At the same time; they advise the oil quantity was down to 6% and was also thinking of ZZZ1. I agreed with the crew about the diversion to ZZZ1 and the process was initiated. I released the flight to ZZZ1 without the MEL; unaware if the engine was running or not; knowing I could add it after if necessary. I asked the crew again; asking which engine; if it was shut down; and if an emergency was declared; they only advised it was still running. I sent the crew normal landing data based on the running engine instead of non-normal landing data and did not have communication with them again until after they landed.ZZZ1 ATCT was advised prior to landing that the flight was inbound with engine trouble; but they were already aware. I later followed up with the ATCT to confirm priority handling was requested and ARFF (Airport Rescue and Firefighting) vehicles were standing by for their landing.",,,,"An air carrier Dispatcher reported one of their flights experienced low oil quantity in one engine and diverted to a nearby airport.",
2304571,202511,0001-0600,ZZZ.ARTCC,US,,,,35000,,,,,,,,Center ZZZ,Air Carrier,EMB ERJ 170/175 ER/LR,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Cockpit Window,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,First Officer,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,Troubleshooting,,,2304571,,,,,,,,,,,,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; General Flight Cancelled / Delayed; General Maintenance Action,Aircraft,Aircraft,"We were at cruise altitude of 35;000 feet approximately 64 miles east of ZZZ when we heard a loud bang form of noise. It sounded like when an EFB mount falls and hits the ground. I looked up and saw my windshield (FO) side had shattered. I mentioned to the captain that we may have to divert. He looked over and saw the windshield and agreed. Seconds later we received an EICAS windshield heater inoperative message. We identified/canceled and ran the QRH for both the eicas and windshield broken checklists. In the midst of that the captain elected to request priority handling as a precaution in case of the spider web style of shatter would get worse and ultimately crack the inner layer. We knew ZZZ was a base; close in proximity; and a maintenance base so that is where we elected to go. I believe we handled the situation as best as trained ultimately following our guidelines of do not panic; fly the airplane; and communicate. In the midst of the event all parties were notified. Flight Attendants; Dispatch; ATC; and the passengers. The outcome was best as possible with no additional damage; injuries; and safety first actions being taken place. After being on the ground we were told there was a plane for us on the next gate over. After finishing what needed to be done we set up the new plane and ultimately finished the route to ZZZ1 and brought the passengers where they intended to go.",,,,"Embraer 170 First Officer reported the First Officer's window outer pane shattering during cruise flight. The flight diverted to an alternate airport and landed safely with no injuries.",
2304589,202511,,,,,,0,,,,,,,,,,Air Carrier,Commercial Fixed Wing,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,Communication Breakdown; Confusion,Party1 Flight Attendant; Party2 Other,,2304589,Aircraft X,Cabin Jumpseat,Air Carrier,Flight Attendant (On Duty),Flight Attendant Current,,,,,,2304598,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Flight Deck / Cabin / Aircraft Event Other / Unknown; Ground Event / Encounter Other / Unknown,,,Person Flight Attendant; Person Flight Crew,In-flight,Flight Crew Rejected Takeoff; General Flight Cancelled / Delayed,Procedure; Aircraft; Human Factors,Aircraft,"We had a normal taxi to the runway. Once we were at maximum speed; the pilots hit the brakes. We were stopping hard and items were sliding down the aisle. Once we came to a complete stop; our Captain came over the PA and said to remain seated. We shouted the command and assessed conditions outside the plane and checked on customers. I did not yell 'Brace; brace; brace' and didn't hear anyone in my immediate area either. On our ride to the hotel we discussed this and weren't sure that we did the right thing since we couldn't see why were we were braking. There could have been something in from of us. I'm used to training where we hear crashing sounds and people screaming once we start yelling commands.",,"As we were just about to take off; the cockpit slammed on the brakes; until will came to a stop. It all happened so fast; we stopped within seconds. The cockpit immediately came on the PA; saying to "remain seated". Which we did; monitoring the doors and checking on passengers. It ended up being the cockpit got an engine failure warning; so aborted take off.",,"Air Carrier flight attendants reported a high speed rejected takeoff due to engine malfunction.",
2304718,202511,1801-2400,,,,,,,,VMC,,,,,,Center ZZZ,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Cruise,,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Turbine Engine,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument,,,,,,2304718,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Air Transport Pilot (ATP),,,,,,2304724,Aircraft Equipment Problem Critical,,,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed As Precaution; Flight Crew Landed in Emergency Condition; Flight Crew Diverted; Flight Crew FLC complied w / Automation / Advisory; General Maintenance Action; General Flight Cancelled / Delayed,Aircraft,Aircraft,"About an hour into the flight (ZZZ-ZZZ1); we noticed engine no. 1 had a low oil qty of 12% and decreasing 1%; every few minutes. Reviewed manuals and found no guidance; so we messaged dispatch and Maintenance Control. Maintenance Control only said; 'follow the manual'; which I found surprising. We immediately descended to a lower altitude; in case the engine failed; we'd already be at an appropriate altitude and we thought the lower thrust setting while descending would help preserve the remaining oil. Decided on diverting to ZZZ2. Kept descending to keep thrust low and eventually kept no. 1 engine at idle for same reason for remainder of the flight. A few times; eng (Engine) oil qty reached 0 (zero); but pressure and temperature remained normal; entire time. Briefed many times; if engine failed; but it didn't and we landed safely.",,"In cruise we had noticed that the number 1 engine suddenly dropped to 12% Oil QTY. We immediately looked in the QRH and noticed there was no checklist but found guidance in the FM (Flight Manual) for engine anomalies and complied with the guidance and followed up with the FOM reference. We reached out to Maintenance Control over ACARS looking for suggestions and received something along the lines of monitor the situation and follow the QRH which is what the book says. During that period we noticed the oil quantity dropping about 1% every few minutes with short intermittent shifts to 0. We had decided that it was not safe to continue to ZZZ1. We decided to divert and during that set up process we decided we wanted to preserve that engine as much as possible without shutting it down. We ended up flying with the number 1 engine at idle for the remainder of the flight since all other indications appeared to be normal and landed without further incident. Upon landing MX (Maintenance) confirmed that there was very little to no oil remaining in ENG 1.",,"B737 flight crew reported loss of engine oil during cruise. Flight diverted and landed safely.",
2304776,202511,,ZZZ.Airport,US,,,,,,IMC,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,FMS Or FMC; GPS,Climb,,,,,,,,,,,,,,,,,,,,,,,,,,GPS & Other Satellite Navigation,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 0; Flight Crew Total 0; Flight Crew Type 0,,Human-Machine Interface,,,2304776,Aircraft X,Flight Deck,Air Carrier,Captain,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 0; Flight Crew Total 0; Flight Crew Type 0,,Human-Machine Interface,,,2304784,Aircraft Equipment Problem Less Severe; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation,In-flight,Air Traffic Control Provided Assistance; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft; Human Factors,Aircraft,"During climbout from ZZZ; GPS-L invalid message started to intermittently come on and frequently. Crew decided with Maintenance and Dispatch confirmation that to land back in ZZZ would be the best decision due to nature of approaches in the area and due to now lack of redundancy in the GPS system. With crew concurrence; the plane was landed overweight since ZZZ was partly IMC; over speed of about 3 kts on flaps 30 setting was also noted due to gusty conditions. Landing was not hard; though both overweight landing and over speed were written up so that Maintenance may inspect. Expected hot brakes and advised Operations of situation.",,"On climbout; GPS-L invalid displayed. With chronic history; contacted Dispatch; Maintenance and Chief Pilot. After discussion; a return to ZZZ was agreed upon due to no land based NAV aids available in the area. Decision to land over weight was also made to prevent further loss of navigation guidance during IMC. With gusting winds we got a 3 kt over speed below 100 feet. Log book entries made upon landing. Advised Operations of potential hot brakes. ARFF (Airport Rescue and Firefighting) monitored brake temps until they began to decrease.",,"B737 flight crew reported loss of a GPS unit on climbout. Flight returned to departure airport and landed.",
2304833,202511,0001-0600,ZZZ.Airport,US,,,0,,,,,,,,,,Air Carrier,A320,,2,Part 121,IFR,Passenger,,Takeoff / Launch,,,,,,,,,,,,,,,,,,,,,,,,,,Gear Pins,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Not Flying; First Officer,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,,,,,,2304833,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,2304834,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Maintenance,,,Automation Aircraft Other Automation,In-flight,Air Traffic Control Provided Assistance; Flight Crew Returned To Departure Airport; Flight Crew Overcame Equipment Problem; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Landed in Emergency Condition; General Maintenance Action; General Flight Cancelled / Delayed,Company Policy,Company Policy,"I completed the preflight walk around prior to departure and did not observe the nose gear pin flag hanging below the nose gear doors. On takeoff; when the Captain called for gear up; I moved the gear lever to the up position and observed that the nose gear was showing in transit. A Caution ECAM then alerted us to the L/G Nosegear Not Unlocked. We attempted to cycle the gear and got the same response. We then left the gear down and requested priority handling. We received vectors around while the Captain worked through his steps; while I flew. We landed underweight and safely back in ZZZ. Once at the gate; the mechanics found that the nose gear pin was left in from an earlier tire and brake change and the flag was only about 8 inches long and was not visible below the gear doors. Cause: Longer and Brighter Gear Pin Flag and maintenance verification of all pin removals.",,"Shortly after selecting the gear up we were presented with the red indication on the nose gear light and the ECAM nose gear not uplocked. We then lowered the landing gear successfully. We stayed at 200 kts requested priority handling leveled off at 5000 feet. Ensured the priority handling was received and started preparing for returning to ZZZ. I assigned the FO (first Officer) pilot flying duties. I contacted Dispatch; Maintenance Control; and updated the flight attendants. I made a brief PA. We ran the non routine landing checklist and over weight landing checklist. After we finished the set up and review and the approach briefing we ran the descent checklist requested vectors for the ILS Runway XXR and returned to a successful landing that was also under max landing weight.Cause: The post flight inspection revealed the nose gear pin was in place. The flag on the pin was approximately 8 inches in length and did not hang down past the gear doors. The Mechanic and I agreed a full length flag would have prevented this from occurring. He then placed a full length flag on the pin.",,"A320 flight crew reported nose gear did not retract on take off due to the nose gear pin being left in.",
2304859,202511,1201-1800,ZZZ.Airport,US,,,,7000,,IMC,Icing; Snow; Cloudy; Fog,,,,,,Air Carrier,Regional Jet 900 (CRJ900),,2,Part 121,IFR,Passenger,,Descent,,,,,,,,,,,,,,,,,,,,,,,,,,Aerofoil Ice System,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Type 1000,,,,,2304859,,,,,,,,,,,,Aircraft Equipment Problem Critical; Inflight Event / Encounter Weather / Turbulence,,,Automation Aircraft Other Automation,In-flight,Flight Crew Landed in Emergency Condition; Flight Crew FLC complied w / Automation / Advisory; Flight Crew Returned To Departure Airport; General Flight Cancelled / Delayed,Aircraft,Aircraft,"I was captain and pilot flying Aircraft X ZZZ-ZZZ1  We pushed back from gate XX and taxied to runway XXL and departed to our destination.  We knew the weather was forecast was calling for snow and fog and visibility was at ILS minimums.  While on approach at 7;000 ft MSL; we received a R WING ANGI ICE Caution message.  The FO and I ran the QRH procedure for that particular message.  The message still persisted after completing the procedure and the QRH directed us to leave icing conditions.  To accomplish this; we climbed the aircraft to 16000 feet and were able to get on top of the cloud layer.  We messaged dispatch of our situation and returning to ZZZ was our best option as the weather was clear for the rest of the flight.  The rest of the flight had no further events and landed safely back at ZZZ.Cause: Failure in the wing anti ice system which caused the EICAS message.Suggestions: The same aircraft was written up previously that day in ZZZ1 for the same EICAS message but was signed off by local maintenance.  More  thorough systems testing before signing the aircraft off.",,,,"CRJ-900 Captain reported failure of a wing anti icing system during descent. Flight returned to departure airport.",
2305051,202511,0601-1200,ZZZ.Airport,US,,,0,,,VMC,,,,,,,Air Carrier,B737 Undifferentiated or Other Model,,2,Part 121,IFR,Passenger,,Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,Wingtip,,X,Malfunctioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Captain; Pilot Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Situational Awareness; Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,2305051,Aircraft X,Flight Deck,Air Carrier,First Officer; Pilot Not Flying,Flight Crew Multiengine; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,Communication Breakdown; Situational Awareness,Party1 Flight Crew; Party2 Ground Personnel,,2305040,Aircraft Equipment Problem Critical; Conflict Ground Conflict; Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Vehicle,,,Person Ground Personnel,Taxi,Aircraft Aircraft Damaged; Flight Crew Returned To Gate; General Flight Cancelled / Delayed,Airport; Human Factors; Aircraft,Human Factors,"Pushback commenced normally with a standard sequence of events. We were given clearance to push from gate XXX to spot A. Captain gave command 'brakes released cleared to push spot A.' Pushback crew read back appropriate instructions. A minute into the pushback the left wing marsheller gave the command to stop pushback and the tug driver did so in a smooth manner. The flight deck was then told that the bottom of the left wing tip had come into contact with a fuel truck antenna. At time of occurrence and position of aircraft there was no indication from the flight deck that it had made contact with anything. Maintenance was called. Maintenance determined to take the aircraft out of service. The pushback crew was replaced and the new crew towed the aircraft back to gate XXX. Passengers deplaned and moved to different gate/ aircraft.",,"Upon pushback from gate XXX heading towards spot A; the left wingtip came into contact with the antenna of a ground vehicle which was stationary abeam gate XXY. The contact was unknown to the flight crew. One minute after pushback commenced; pushback crew brought us to a smooth stop and informed us that contact was made. They advised the captain to set the parking brake and that maintenance was called out to inspect the wingtip for damage. Maintenance ultimately determined that there was a sufficient amount of damage which required us to return to the same gate which we departed from. At no time was the aircraft under its own power; or disconnected from the push tug. A plane swap was performed.",,"B737 flight crew and ramp agent reported the aircraft wingtip stuck an antennae of a fuel truck during pushback; resulting in damage to the aircraft wingtip.",
2305068,202511,0601-1200,ZZZZ.Airport,FO,,,0,,,,,,,,,,Air Carrier,B767 Undifferentiated or Other Model,,3,Part 121,IFR,Passenger,,Parked,,,,,,,,,,,,,,,,,,,,,,,,,,AC Generation,,X,Failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,Flight Deck,Air Carrier,Pilot Flying; Captain,Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP); Flight Crew Multiengine,,,Communication Breakdown,Party1 Flight Crew; Party2 Maintenance,,2305068,,,,,,,,,,,,Aircraft Equipment Problem Critical; Deviation / Discrepancy - Procedural Maintenance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Pre-flight,General Flight Cancelled / Delayed; General Release Refused / Aircraft Not Accepted,Aircraft; Human Factors,Aircraft,"As Captain I refused to operate Aircraft X from ZZZZ to ZZZ on Day 0.  The aircraft arrived with inoperative HMG (Hydraulic Motor Generator) and 10 other deferrals.  The follow on crew apparently refused the aircraft also. Boeing designed the aircraft with an operable HMG for a reason; as the backup in the unlikely event of dual AC bus failure.  Our flight was dispatched 120minute ETOPS; being over two hours from any airport would be in mind one of those times that backup should be required.   There is a warning in our flight manual that states:  If the HMG fails or is inoperative; flight beyond 30 minutes will result in a complete loss of electrical power and the inability to lower the gear and flaps.  When flying domestically with many landing options within this time frame; this would be perhaps acceptable.  However on this flight that was not the case.",,,,"B767 Captain reported refusing an aircraft that had an inoperative back up generator.",
